질문 유형,직무 - 회사,질문,답변
협업/성과,마케팅 - 현대백화점,"서로 다른 사고방식이나 환경을 가진 사람들과 과제를 수행하면서 팀워크를 형성하기 위해 노력했던 경험에 대해 기술해주세요. (팀워크를 형성하려 했던 이유, 본인의 행동과 결과, 그 과정에서 느낀점 등)","롯데대학생서포터즈 U-프렌즈를 활동하는 중 다음 기수를 모집하는 홍보영상을 제작하는 팀 활동을 수행했습니다. 활동 초기 롯데플레져박스에 대한 홍보 영상을 팀 규모로 제작한 경험을 통해 영상 제작 활동은 촬영과 편집 등 다양한 역할을 혼자 맡아서 하기에 시간과 인력이 부족하다는 것을 판단했습니다.
우선 팀원들과 사전 회의를 진행했는데 영상 장르에 대해 의견을 나눈 결과 B급과 웹드라마로 장르가 나누어졌고 투표를 진행해 웹드라마로 장르를 결정했습니다. 저는 영상 편집에 대한 지식이 없어 편집 작업에 참여할 수 없었던 저는 대신 구상한 시나리오에 따라 촬영 장소를 선정하고 예산을 분배하는 역할을 맡았고 팀 활동비로 받은 20만원을 관리하여 장소를 대관하고 소품을 구매하는 데 사용했습니다.
모든 팀원들이 프로젝트에 대한 참여도는 높았지만, 장르에 있어 B급 감성 의견을 강력히 어필하는 팀원이 뜻을 굽히지 않아 시나리오 구상에 있어 차질이 발생했습니다. 저희 팀은 긴급회의를 열어 전제적인 방식은 웹드라마로 진행하되 영상 마지막 부분에 “밈” 형식의 영상을 추가하거나 몇몇 대사에 유머가 들어가도록 수정하는 방향으로 제안하였고 다행히 의견이 반영되어 무사히 영상 제작을 마칠 수 있었습니다.
많은 팀원들의 의견이 반영된 것에 비해 영상은 난잡하지 않고 자연스럽게 녹아들었고 준수한 퀄리티라는 점이 긍정적으로 평가받아 최우수 영상으로 선정되어 공식 SNS에 홍보영상으로 게시되었습니다. 이렇듯 상황에 따른 문제 대처 능력과 소통 역량을 향상시키고 실무에 필요한 역량을 키워나갈 수 있는 현대백화점의 인재로 성장하겠습니다."
기업/아이디어,마케팅 - 현대백화점,"평소 현대백화점(백화점, 아울렛, 더현대닷컴/현대식품관투홈 등 온라인몰)을 이용하며 느꼈던 장단점을 제시하고, 현대백화점의 경쟁력을 제고할 수 있는 아이디어를 제시하시오.","최근 더현대를 알아보면서 고객의 입장에서 장단점을 생각해 보았습니다. 여기서 제가 찾은 키 포인트는 바로 ""점포의 수"" 입니다. 동종업계 백화점들과 달리 더현대는 상대적으로 점포를 적게 보유하고 있지만, 점포 내 시그니처 브랜드가 점포의 희소성과 맞물려 ""고급화""라는 특성을 얻었습니다. 하지만, 16곳의 백화점과 8곳의 아울렛은 수치상으로도 적은 수이며, 대부분이 수도권과 영남에 몰려있다는 것은 고객 유치에 있어 불리하다는 것이 사실입니다.

""개성을 부여하여 '가심비' 잡기""
이를 통해 지점을 늘리는 것이 확실하겠지만 예산상으로도 갑작스러운 점포 확장은 불가능하며, 섣부른 지점 확장은 희소성을 통해 얻은 고급화 이미지를 잃을 수 있습니다. 그렇기에 저는 현재 운영중인 점포에 ""개성""을 부여하여 고객들이 매장을 직접 찾아오도록 만드는 것을 제안드리고자 합니다. 각 매장마다 지역의 특성을 살린 시그니처 콘크리트가 베스트 메뉴인 ""쉐이크쉑""처럼 각 지점과 지역의 특색을 적절히 결합하여 그 지역에만 존재하는 시그니처 점포를 만든다면 기존의 고급화 이미지와 시너지를 이룰 수 있다고 생각합니다. 
최근에는 가격이 아닌 심적 만족을 기준으로 삼는 ""가심비""가 주목받고 있어 서비스를 질적으로 향상시키는 것이 추세인 만큼 고객들이 안정감을 느끼거나 추억을 연상하도록 만드는 등 컨셉을 설정하여 심리적 욕구를 충족시키는 것이 더욱 효율적입니다. 이미 더현대 서울 및 현대백화점 판교점으로 컨셉을 명확히 잡은 플랫폼이 랜드마크로 자리잡은 경험이 있는 만큼 개성을 부여한 점포들을 운영한다면 충분히 경쟁력을 갖출 수 있을 것입니다."
협업/성과,자산 설계 전문가 - 신한은행,"공동의 목표 달성을 위해 구성원들과 협업하여 이루어낸 성과를 작성해 주세요. 구성원들과의 갈등상황이 있었다면 어떻게 극복하였는지, 팀워크 및 목표달성을 위해 본인은 어떠한 역할을 수행했는지 구체적으로 작성해 주세요.","[동반성장을 만드는 ‘리더’이자 ‘서포터’]
  관세청 정책기자 팀장을 역임했던 1년 동안 구성원과 팀의 성장 모두를 이루었습니다. 기자팀 팀장으로서 팀 성과 1위라는 목표를 제시하고 조직 업무 배치 및 개인 기사작성 관리 업무를 수행했습니다.
  업무를 배치할 때는 팀원의 성향을 고려하였습니다. 이는 업무 효율도를 높이는데 도움이 되었습니다. 그러나 '특송 통관' 카드뉴스를 제작할 때, 팀원 한 명이 팀에서 이탈하는 상황이 있었습니다. 분배된 업무에 대한 자신감 부족이 원인이었습니다. 저는 해당 팀원에게 업무를 재교육하여 다시 협력하는 관계를 만들었습니다. 이 경험을 통해 업무 분배에 더 신중을 기하게 되었습니다.
  또한, 개인의 성과가 모여 팀 성과를 만들어낸다는 믿음을 가지고 구성원의 개인 기사 작성을 도왔습니다. 전해 우수 기사로 선정된 글들을 공유하고, 법령 정보 포털 사용법을 안내했습니다. 그리고 솔선수범하여 연간 17건의 기사를 작성하고, 선착순으로 분배되는 취재권을 확보하여 팀원과 분배하였습니다.
  그 결과, 총 5회의 팀 프로젝트 중 4회에서 1등 성적을 거두었습니다. 그리고 팀원 중 한 명은 기자 공로를 인정받아 관세청장 표창을 받는 등 개인적 성장도 이룰 수 있었던 값진 경험이었습니다. 조직을 운영했던 이 경험을 통해, ‘리더’로서의 역할 뿐 아니라 동반 성장을 끌어내기 위한 ‘서포터’의 역할을 배울 수 있었습니다."
역량/경험,자산 설계 전문가 - 신한은행,지원한 직무를 수행하기 위해 필요한 핵심역량은 무엇이라고 생각하며 그 이유는 무엇인지 설명해 주세요.,"WM 직무를 수행하기 위해 갖춰야 할 역량은 크게 소통 능력과 전문성이라고 생각합니다. 그리고 은행원이 되기 위해 노력하는 과정에서 '소통'과 '전문성'에 대해 새로이 정의할 수 있었습니다.
소통은 고객과 자산 설계 상담을 할 때, 고객의 재무적, 비재무적 정보를 얻고자 경청하는 자세입니다. 상품을 안내하기 전 고객의 투자 성향 및 위험 감수 성향 등을 사전에 정확하게 파악해야 재무 목적을 달성할 수 있습니다. 
전문성은 고객에게 적합한 상품을 찾는 데 필요한 지식 함양과 스스로 더욱 발전하려는 마음가짐입니다. 행원은 경제 동향과 자산 시장, 투자에 대한 이해를 바탕으로 고객이 원하는 서비스를 제공해야 합니다. 더불어, 계속 발전해야 하는 이유는, 금융인에게는 수시로 변화하는 경제 동향과 금융법을 빠르게 파악하여 고객에게 최신 정보를 전달할 의무가 있기 때문입니다.
두 역량을 키우기 위한 자기개발은 자신에게 도움이 될 뿐 아니라 고객과 지점에도 긍정적 영향을 줄 것입니다."
역량/경험,자산 설계 전문가 - 신한은행,그 역량을 갖추기 위해 본인이 어떠한 노력을 기울였는지 구체적으로 기술해 주세요.,"첫째, 다양한 활동을 통해 소통 능력을 키웠습니다. 저는 약 2년간의 관세청 정책기자 생활과 3회의 단기 아르바이트 경험으로 해당 역량을 키웠습니다. 다양한 분야의 실무진에게 업무 협조를 요청하고, 취재 허가를 받는 과정에서 또렷한 목소리와 눈 맞춤을 통해 진정한 소통을 할 수 있었습니다. 더불어, 아르바이트할 때 고객이 불편하게 느낄 만한 점을 미리 찾아내어 개선해놓는 등 고객 만족을 실현하기 위해 노력한 바 있습니다.
둘째, WM 직무에 필요한 지식과 경험을 쌓고 있습니다. 신한금융그룹 금융아카데미 수강과 AFPK 공부를 병행하며 자산 설계의 필요성과 재무 설계사가 되기 위해서 갖추어야 하는 역량을 배우고 있습니다. 실제로 주식 투자를 해 보고 고객의 자산 포트폴리오를 만드는 실습을 하면서 실무를 간접적으로 경험하였습니다. 또한, 경제 동향 파악을 위해 시사잡지 및 신문을 구독하여 그 내용을 분석하는 시간을 가지고 있습니다."
동기/포부,자산 설계 전문가 - 신한은행,"지원한 분야에서 펼치고 싶은 꿈이 무엇인지, 그 꿈을 신한은행에서 이루고 싶은 이유는 무엇인지 구체적으로 기술해 주세요.","[미래를 위한 선택]
  자산 관리 필요성에 대한 인식은 해가 갈수록 증가하고 있습니다. 미래를 대비하고자 하는 사람들의 욕구가 반영된 것입니다. 신한은행은 두 가지 형태의 연금 플랜을 주력으로 하여 고객들에게 다양한 선택권을 제공하고 있습니다. 2014년 출범한 신한미래설계 은퇴브랜드는 신한금융그룹의 높은 신용도를 바탕으로 앞으로 많은 고객의 니즈를 만족시킬 수 있을 것입니다. 경제활동의 궁극적 목표인 안정적인 경제생활과 노후 자금 확보는 은행의 존재 이유라고 생각합니다. 
  신한은행에 PWM센터에 들어가 고객의 자산을 운용하고 설계하며 고객 행복과 자신의 성장, 두 마리 토끼를 모두 잡는 미래를 꿈꾸고 있습니다. 먼저, 일반 영업점에서 개인 금융 영업을 하며 대고객 커뮤니케이션 능력을 키우겠습니다. PWM센터는 금융상품뿐 아니라 증권상품도 함께 제시해야 하므로 금융투자분석사 자격을 취득하고, 최종적으로 CFP 자격을 취득하여 신한은행 최고의 자산 설계 전문가가 되겠습니다."
동기/포부,MD - CJ올리브영,지원동기,"어릴 때 얼굴에 아토피를 앓았던 사람으로서 올리브영은 제가 열망하는 두 가지의 집합입니다. 건강과 아름다움을 큐레이팅 한다는 비전은 그 어떤 회사보다 매력적입니다. 얼굴이 가렵고 아픈 것도 문제였지만 보기가 흉해 사람들 앞에 자신감 있게 나서기 어려웠습니다. 자연스럽게 또래 아이들에 비해 건강과 피부에 대한 관심을 일찍 가졌습니다. 좋다는 화장품과 약을 다 찾아 다녀본 적이 있습니다. 결핍되어 본적이 있던 사람의 시각으로 고객들이 원하는 상품을 기획하고 싶습니다.

기획부터 관리까지, 담당 카테고리를 온전히 저의 의도와 책임으로 결과를 내는 MD 직무는 매 단계 성취감을 느낄 수 있다고 생각합니다. MD는 모든 업무를 해내는 원더우먼이 되어야 하는 직무라고 생각합니다. 마케팅을 기본으로 소싱 시에 필요한 협상력, 종합적으로 상품을 보는 안목, 심미적인 역량과 실질적인 이익률 관리 등 그 어떤 직무보다 다양한 능력을 요구한다고 생각됩니다. 하나만 할 때보다 여러 가지 일을 동시에 할 때 더 좋은 결과를 도출해내는 제가 가장 에너지를 쏟을 수 있는 직무라 생각합니다.

올리브영에서 담당 카테고리 신제품을 기획할 시에 명확한 표적 시장선정을 토대로 타겟 고객층의 라이프스타일 분석을 통해 가장 어필될 수 있는 상품을 소싱하겠습니다. 소비하고 나가는 공간이 아닌 머무르며 소비하는 공간으로 만들고 싶습니다. 올리브영의 철학을 느낄 수 있는 공간으로서의 종합 뷰티 플랫폼을 만들고 싶습니다. 대형점포에서는 올리브영 제품 사용을 조건으로 한 미용실 및 뷰티점포를 입점 시켜 소비자들이 만족스러웠던 제품을 올리브영에서 재구매할수있는 One-stop 루트를 기획해보고 싶습니다. 또한 소형점포의 경우 매장 내 공간이 한정된 만큼 효율적인 운영을 위해 매출의 흐름을 바탕으로 한 트렌드 분석으로 SKU관리를 통해 최적 재고를 유지하겠습니다. 고마진 제품과 고회전율 제품의 적절한 조화를 통해 수익을 극대화하는 방법을 모색하겠습니다."
역량/경험,MD - CJ올리브영,"MD 직무 수행 시 필요한 역량은 무엇이라고 생각하며, 해당 역량을 갖추기 위해 그 동안 어떤 노력과 도전을 했나요? 그리고 그 과정에서 겪은 어려움과 극복과정을 구체적으로 설명해주세요.

","MD는 분석력, 통찰력을 기반으로한 전략에 능해야 한다고 생각합니다. 철저한 타켓시장 분석으로 상품 이미지 메이킹을 통해 고객의 욕구를 만족시킨다면 매출로 이어질 것입니다. 기존 매출과 재고 회전률을 분석하여 상품의 유지 및 추후 구매를 결정할 수 있습니다. 또한 주 고객인 20~30대 여성들의 라이프 스타일 분석과 최근의 뷰티 트렌드 분석을 매치하여 유의미한 결과를 가져올 수 있습니다. 추가적으로, 분석된 결과를 어떤 품목에 접목 시킬 시에 이익이 극대화될 수 있는지 판단 할 수 있는 통찰력이 필요합니다.

저는 2018년 11월, 세계에서 가장 큰 뷰티 전시회인 홍콩 COSMOPROF에서 한국 중소기업의 수출을 지원했습니다. 전시회 마지막 날, 사전에 상담이 약속된 바이어가 오지 않아 해당 기업의 실적이 저조하였습니다. 마지막 날이라 새로운 바이어를 발굴하기엔 시간이 촉박하였습니다. 제가 처한 상황에서 가장 최고의 결과를 낼 방법을 고민했습니다. BTB 성격의 전시회지만 일반 방문객이 많다는 점을 이용해 현장 판매를 제안했습니다.

먼저 기업 제품 분석을 통해 홍보 포인트를 찾았습니다. 화이트닝 앰플이 바르는 즉시 효과가 눈에 보인다는 점을 이용해, 화이트닝에 관심이 많은 동남아 고객들을 타겟으로 현장 완판을 기록했습니다. 제품 효과를 그 자리에서 느끼시도록 하였고 저희가 가져온 물량이 많지 않다는 점을 강조했습니다. 또한 부스의 위치가 외진 곳에 있어, 유동인구가 많은 곳으로 자리를 옮겨 지나가는 고객들의 손등에 마스크팩을 잘라 얹어주었습니다. 바이오셀룰로오스 시트의 특이한 촉감과 밀착력을 직접 경험 시켜 드렸습니다. 추가 구매를 원하시는 고객분들이 많아, 연락처를 기업 담당자분께 전달해드렸습니다.

철저히 상황을 분석하여 소비자의 니즈를 충족시킬 수 있는 방법을 고민했습니다. 주어진 상황을 바꿀 수 없다면, 그 안에서 최고의 결과를 끌어내기 위해 노력합니다. 바쁘게 돌아가는 현장이었지만 보람을 느낄 수 있는 경험이었습니다."
기업/아이디어,MD - CJ올리브영,"2020년 대한민국 Health&Beauty Store 트렌드를 한 단어로 정의하고, 본인이 올리브영 MD라면 트렌드를 리딩할 수 있는 어떤 차별화된 카테고리 또는 상품을 도입하고 싶은지 설명해주세요. 그리고 본인이 MD직무를 잘 수행할 수 있는 이유를 자신의 강점과 연관지어 설명해 주세요.","2020년 대한민국 Health&Beauty store 트렌드는 비거니즘이라고 생각합니다. 소비자들이 가치 소비를 시작한 이래로 철학이 담긴 제품이 주목받고 있습니다. 만들어지는 과정과 성분 및 해당 기업의 사회적 역할 또한 소비의 고려 대상이 되었습니다. 건강과 아름다움을 챙기는 동시에 사회와 환경의 긍정적 변화 또한 중요하게 생각하는 것입니다. 저는 이러한 트렌드를 겨냥하여 못난이 과일로 만든 주스를 상품화하고 싶습니다. 외관이 미의 기준에 부합하지 못한다는 이유로 폐기되거나 헐값에 넘어가는 과일로 만든 건강 주스를 소싱하여 밀레니얼 세대의 친환경적인 소비 욕구를 충족시키겠습니다. 진정한 미는 표면적 아름다움을 넘어설 때 있다는 슬로건으로, 성분도 맛도 동일하지만, 겉모습으로 판단되어 버려지는 과일로 만든 주스로 피부 속부터, 환경까지 모두 건강한 소비를 주장하는 상품을 도입하고 싶습니다.

저는 주변에 늘 관심이 많습니다. 누가 무엇을 사용하고 어떤 걸 즐겨 먹으며 선호하는지 주의 깊게 관찰합니다. MD의 타켓은 사람들의 욕구를 찾아낼 수 있는 능력이 필요합니다. 저는 무역 인재양성과정 프로그램을 통해 해외 전시회에서 직접 화장품을 판매해보며 현장에서 능력을 검증해보았습니다. 저의 근원적인 호기심을 바탕으로 소비자 니즈를 알아내고 충족시키겠습니다. 또한 영국 워킹홀리데이에서 카페테리아 재고 발주 및 관리를 해본 경험이 있습니다. 당시 재고가 많은 얼그레이 티백을 한국식 밀크티 출시로 수익을 올리며 재고를 처리했습니다. 올리브영에서 실무감각을 빠르게 익히는 신입 MD가 되겠습니다."
동기/포부,해외영업 - 삼성전자,삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.,"[한계에 도전하는 삶을 삼성에서]
‘인류의 역사는 한계를 향한 도전을 통해 끊임 없이 자유를 확장해 온 여정입니다.’
얼마 전 출시된 갤럭시 폴드 광고의 첫 구절입니다. 저는 한계를 깨고 혁신을 만들어가는 삼성에서 끊임 없이 도전하는 삶을 살고 싶습니다.
1년간 페루에서 일하며 삼성의 브랜드 가치를 다시 한 번 확인할 수 있었습니다. ‘너는 중국인이냐’는 질문에 ‘나는 한국인’이라고 답할 때, 많은 이들이 반갑게 웃으며 사용 중인 삼성폰을 제게 보여주곤 했습니다. 그 때마다 그렇게 뿌듯할 수가 없었습니다. 당시 공공외교를 통해 한국을 알리는 일을 맡고 있던 저는 삼성이야말로 한국을 가장 잘 알리고 있다고 느꼈습니다.

[중남미 지역, 중국 브랜드가 넘볼 수 없는 1위가 되도록]
삼성전자 CE/IM의 무선사업부에서 해외영업을 담당하고 싶습니다. 특히, 저의 스페인어 능력과 중남미 문화권에 대한 이해를 바탕으로 중남미 지역에서 제 역량을 펼쳐 보이고자 합니다. 페루에서 지내는 1년간, 화웨이와 같은 중국 브랜드가 저렴한 가격에 고스펙인 폰들을 연달아 출시하고 있고 평균 소득 수준이 그리 높지 않은 중남미에서 특히나 큰 인기를 끌고 있다는 것을 확인할 수 있었습니다. 중남미 지역, 특히 경제 규모가 큰 브라질과 멕시코에서 중국 브랜드의 공세에 대응하여 삼성 스마트폰 점유율을 멕시코에서 40%, 브라질에서 60% 이상으로 끌어올리고자 합니다."
성장/가치관,해외영업 - 삼성전자,"본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품속 가상인물도 가능)","[할까 말까 할 땐 하자!]
16살, 가족과의 뉴질랜드 여행 중, 세계 최초 번지 점프대인 카와라우를 방문했습니다. ‘세계 최초’라는 말과 다리 아래의 아름다운 강물빛에 이끌려 번지 점프를 할까 말까 한 시간 내내 고민만 하다 결국 뛰어내리지 못했습니다. 한국에 돌아와 제 인생에서 또 다시 그곳을 방문할 확률이 제로에 가깝다는 사실을 깨달은 순간, 저는 우유부단했던 제 자신을 원망했습니다. 그리고‘할까 말까 고민이 될 때는 무조건 해야 한다’라는 교훈을 얻었습니다.
5년이 지나 저는 스위스를 방문했고, 한치의 망설임도 없이 스카이 다이빙에 도전했습니다. 두려움 때문에 포기한다면 정말 너무 후회할 것이라는 것을 알았기 때문에 눈을 질끈 감고 비행기에서 뛰어내렸습니다. 하늘에서 본 스위스는 지금도 눈을 감으면 생생하게 떠올릴 수 있을 정도로 아름다웠습니다. 착지한 후, 저는 다시 한 번 행동해서 후회하는 것보다 하지 않아서 후회하는 것이 더욱 더 견디기 어렵다는 사실을 확인했습니다.
사람이라면 누구나 해오던 것이 아닌 새로운 도전의 기회가 주어지면 망설이게 됩니다. 그러나 저는 위의 두 사건 이후, 과감히 도전을 선택하는 사람이 되었고 남들보다 훨씬 다양한 경험을 할 수 있었습니다.

[페루 인턴 생활 : 나 자신에 대해 알아가다]
스페인어를 마스터하고자 주페루 한국대사관 공공외교 인턴에 지원했습니다. 급하게 휴학도 해야 했고 전공과는 크게 관련이 없는 업무였지만 결과적으로 저의 진로 설정에 가장 큰 영향을 준 결정이었습니다.
페루 생활 3개월 만에 자교 서어서문학과 졸업요건인 DELE B2를 취득할 정도로 스페인어 실력이 빠르게 늘었고 그 덕에 대사관 인턴에 이어 코트라 인턴 자리를 얻을 수 있었습니다. 코트라에서는 시장 조사 및 보고서 작성, 현지 바이어 탐색 및 컨택, 비즈니스 미팅 주선 등의 업무를 맡아 즐겁게 일했습니다. 페루에서의 1년을 통해 저는 제가 외국어에 큰 흥미와 재능을 갖고 있으며 다양한 문화권의 사람들과 커뮤니케이션하는 것을 즐긴다는 것을 깨달았고 커리어를 해외영업으로 구체화할 수 있었습니다.

[제조업 학회 : 새로운 분야에 대한 도전을 두려워하지 않게 되다]
경제학에만 매몰되지 않기 위해 기술경영 복수전공을 시작했고 교내 제조업 학회에 조인했습니다. 공대 수업을 잘 따라갈 수 있을지, 제조업 학회 활동이 무리 없이 가능할지 등 걱정이 앞섰지만, 좋은 성적을 거두었을 뿐만 아니라 학회 부회장이 되어 학회를 이끌어 나가기까지 했습니다.
복수전공과 학회 활동을 통해 남들보다 베이스가 부족하더라도 그들보다 더 많은 노력과 시간을 들임으로써 부족함을 충분히 메울 수 있다는 것을 깨달았고 남들보다 더 압축적인 성장이 가능하다는 긍정적인 측면도 발견했습니다. 그 덕에 저는 자신 있게 BCG의 시스템 반도체 신사업팀에 지원했고 그곳에서 인턴으로 일하는 2달 간 학부생으로서 배우기 어려운 수준의 내용들까지도 습득할 수 있었습니다."
협업/성과,해외영업 - 삼성전자,"본인의 경험 중 다양한 배경과 생각을 가진 사람들과 의견을 조율하여 문제를 해결한 경험에 대해 기술해 주시기 바랍니다. (당시 상황, 본인의 해결방법, 결과 포함)","IT수업을 맡을 컴퓨터 전공생 2명과 저와 함께 문화수업과 IT수업 동시통역을 맡을 스페인어 구사자 1명과 팀을 이루어 참여한 코스타리카 IT봉사활동 중 두 가지 갈등이 있었습니다.
 첫째로 IT수업 수강생이 대학생부터 노인분들까지 다양하다 보니 이해도에 큰 차이가 있었고 적정한 수업 난이도에 대한 생각이 달랐습니다. 저는 배움의 기회를 얻기 어려운 노인분들까지도 포용할 수 있는 비교적 낮은 수준으로 수업이 진행되어야 한다고 생각했고 다른 팀원들은 준비해 간 내용을 모두 전달함으로써 수준 높은 수업을 만들고 싶어했습니다.
 고심 끝에 저는 동시통역자로서의 역할을 뛰어 넘어 노인분들을 대상으로 보충수업을 진행하기로 결심했습니다. 보충수업을 통해 이해도의 차이를 줄인다면 정규수업 또한 훨씬 더 원활할 것이라는 점을 다른 팀원들에게 강조했고 협조를 구했습니다. IT수업 담당자들은 보충수업용 쉬운 예제를 만들어 주었고 다른 동시통역 담당자는 제가 진행하는 보충수업에 함께 참여하여 저를 도와 주었습니다. 이러한 노력 끝에 단 한 명의 중도 포기자 없이 교육을 마칠 수 있었습니다.
 둘째로 현지 IT센터 관계자들과의 문화차이로 인해 일주일간 불편하게 지냈습니다. 현지 관계자들은 주말마다 저희가 자기네 집을 방문해 함께 어울리고 대가족 여행에 참여하길 바라는 동시에, 저희가 자신들을 저희 숙소에 초대하길 기대했는데 저희로써는 이해하기 어려운 요구였습니다. 
 진솔한 대화를 통해 저희는 외식을 할 금전적 여유가 없는 코스타리카 사람들에게 집은 좋은 모임의 장소이고 대가족 여행은 손님대접이라는 것을, 그들은 저희에게 집은 굉장히 사적인 휴식의 공간이고 대가족 여행은 스페인어를 할 줄 모르는 팀원 두 명에게는 너무나도 불편하고 피곤한 자리라는 것을 알게 되었습니다. 그래서 그들은 대가족 여행 대신 대가족 저녁 식사자리를 마련했고 저희는 그들을 숙소에 초대하는 대신 그들의 집을 방문하여 한국 요리를 대접했습니다. 서로의 문화에 대한 이해와 존중을 바탕으로 갈등을 해결할 수 있었습니다."
동기/포부,식품마케팅 - CJ제일제당,CJ제일제당에 지원하게 된 동기와 여러 지원자들 중 본인이 'ONLYONE' 이라고 생각하는 부분은 무엇인지 작성해 주십시오.,"[개척하는 실행력]
제 ONLYEONE은 목표 달성을 위해 밀고 나가는 실행력이며 이는 제품출시부터 유통관리까지 PLC를 관리하는 마케터에게 꼭 필요한 자질이라 생각합니다. 이는 두 번의 인턴 경험을 통해 증명할 수 있습니다. 컨설팅펌 근무 당시 필요한 자료 인터넷에서 얻을 수 없을 때, 해당 논문의 연구 집필진을 찾아 메일문의를 드려 얻어내는가 하면, 20곳이 넘는 기업들에 전화해 공장 가동률과 같은 정보를 얻어내 프로젝트의 원활한 이행에 이바지할 수 있었습니다. 또한, 스타트업 기획팀에서 일하며 성과지표 분석을 바탕으로 KPI 달성을 위해 소비자의 니즈에 부합하는 이벤트를 직접 기획하고 진행했고, 기존 지표보다 4배 높은 성과를 달성할 수 있었습니다.

[사회학적 통찰력을 가진 CJ제일제당 식품 마케터]
""음식을 만들고 먹는 과정은 자연을 문화로 변화시키는 과정이다"". 이는 <음식과 사회>를 주제로 식품산업에 대해 공부하던 사회학 수업에서 가장 인상 깊었던 말입니다. 이 수업을 계기로 사회학적 통찰력을 바탕으로 사람들에게 더 건강하고 즐거운 식문화를 제공하는 식품 마케터의 꿈을 갖게 되었습니다.
그리고 CJ제일제당의 25개의 다양한 제품포트폴리오를 다루며 폭넓은 시야로 식품산업을 보는 힘을 키우고 싶습니다. 또 수산HMR, 케어푸드 등의 신제품 개발 을 통해 식문화를 선도하는 것은 비건 한식품을 통한 한식의 글로벌화라는 제 커리어 비전을 실현할 수 있는 매력적인 기업입니다. 저의 ONLYONE, 실행력을 바탕으로 CJ제일제당과 함께 더 나은 식문화를 만들어나가는 과정 이바지 하고 싶습니다."
역량/경험,식품마케팅 - CJ제일제당,"본인이 지원한 직무 수행시 필요하다고 생각하는 역량을 중심으로 직무를 정의해보고, 해당 직무를 본인이 잘 수행할 수 있다고 판단하는 근거를 기술해주십시오. (본인의 강점, 가치관, 관련 경험에 근거)","마케터는 '소비자의 니즈를 파악'하고 이를 제품 기획과 마케팅 커뮤니케이션에 적용할 수 있는 '창의적 해결 능력'이 필요하다고 생각합니다.

[새로운 마케팅 전략으로 학회 지원율 300% 증가]
경영전략학회의 이전 리쿠르팅의 지원자수가 저조했었습니다. 이를 극복하기 위해 새로운 리쿠르팅 전략을 모색해야했습니다. 이를 위해 학생들을 대상으로 Survey와 FGI를 실시했고, 경영 비전공생들이 체계적으로 경영학을 학습할 수 있는 것을 원한다는 것을 알 수 있었습니다. 그래서 체계적인 학회 커리큘럼과 비경영 학회원들이 성공적으로 원하는 진로에 간 사례들을 강조하는 마케팅 커뮤니케이션 전략을 수립하여 그 결과 지원자 수가 300% 급증해 우수한 학생들을 성공적으로 모집할 수 있었습니다.

[창의적 서비스 UX 개선]
오프라인 모임 서비스를 제공하는 스타트업에서 근무했을 당시 유저들의 경험 프로세스를 분석하여 페인 포인트를 발견해 창의적으로 해결책을 모색한 적이 있습니다. 서비스 특성상 모임 규칙을 어기는 악성 유저를 신속히 발견하여 대응하는 것이 중요해 신고 활성화 방안을 모색했어야 했습니다. 유저들이 모임 참석 후 안부 인사를 위해 앱을 다시 들어온다는 점을 발견했고, 평균 모임 종료 시각에 맞춰 모임 후기를 알려달라는 팝업을 띄우는 아이디어를 고안해 냈습니다. 그 결과 이전보다 신고 건이 20% 증가해 악성 유저를 보다 빨리 발견해 대응함으로써 서비스 만족도를 높이는데 기여할 수 있었습니다.

이렇게 지금까지 쌓아온 역량은 CJ제일제당의 식품마케팅 직무를 수행하는 데 있어 도움이 될 것으로 생각합니다."
